region,syclla_ip,client_ip,backup_region,local_table,global_table,global_dynamo_region,check_server
us-east-2,3.132.88.238,18.191.78.131,us-east-2,radical_testing,radical_global,us-east-2,3.133.56.83
us-west-1,54.215.7.42,54.177.205.122,us-east-2,radical_testing,radical_global,us-west-2,3.133.56.83
us-west-2,44.226.43.204,34.214.77.67,us-east-2,radical_testing,radical_global,us-west-2,3.133.56.83
ca-central-1,15.223.158.240,3.99.4.34,us-east-2,radical_testing,radical_global,us-east-2,3.133.56.83
ca-west-1,40.177.75.62,40.176.135.123,us-east-2,radical_testing,radical_global,us-west-2,3.133.56.83
mx-central-1,78.12.112.29,78.13.34.213,us-east-2,radical_testing,radical_global,us-east-2,3.133.56.83
us-east-1,34.203.178.121,52.7.153.137,us-east-2,radical_testing,radical_global,us-east-1,3.133.56.83
